 time,energy conservation violation
   24.554999999988123      ,   3.3306690738754696E-015
   24.555499999988122      ,   3.3306690738754696E-015
   24.555999999988121      ,   3.3306690738754696E-015
   24.556499999988119      ,   3.3306690738754696E-015
   24.556999999988118      ,   3.3306690738754696E-015
   24.557499999988117      ,   3.3306690738754696E-015
   24.557999999988116      ,   3.3306690738754696E-015
   24.558499999988115      ,   3.1086244689504383E-015
   24.558999999988114      ,   3.3306690738754696E-015
   24.559499999988113      ,   3.3306690738754696E-015
   24.559999999988111      ,   3.3306690738754696E-015
   24.560499999988110      ,   3.3306690738754696E-015
   24.560999999988109      ,   3.3306690738754696E-015
   24.561499999988108      ,   3.3306690738754696E-015
   24.561999999988107      ,   3.1086244689504383E-015
   24.562499999988106      ,   3.1086244689504383E-015
   24.562999999988104      ,   3.3306690738754696E-015
   24.563499999988103      ,   3.3306690738754696E-015
   24.563999999988102      ,   3.1086244689504383E-015
   24.564499999988101      ,   3.1086244689504383E-015
   24.564999999988100      ,   3.3306690738754696E-015
   24.565499999988099      ,   3.1086244689504383E-015
   24.565999999988097      ,   2.6645352591003757E-015
   24.566499999988096      ,   3.1086244689504383E-015
   24.566999999988095      ,   2.8865798640254070E-015
   24.567499999988094      ,   3.3306690738754696E-015
   24.567999999988093      ,   3.1086244689504383E-015
   24.568499999988092      ,   3.3306690738754696E-015
   24.568999999988090      ,   3.3306690738754696E-015
   24.569499999988089      ,   3.1086244689504383E-015
   24.569999999988088      ,   3.1086244689504383E-015
   24.570499999988087      ,   3.3306690738754696E-015
   24.570999999988086      ,   3.1086244689504383E-015
   24.571499999988085      ,   3.3306690738754696E-015
   24.571999999988083      ,   3.3306690738754696E-015
   24.572499999988082      ,   3.3306690738754696E-015
   24.572999999988081      ,   3.3306690738754696E-015
   24.573499999988080      ,   3.1086244689504383E-015
   24.573999999988079      ,   3.3306690738754696E-015
   24.574499999988078      ,   3.3306690738754696E-015
   24.574999999988076      ,   3.3306690738754696E-015
   24.575499999988075      ,   3.3306690738754696E-015
   24.575999999988074      ,   3.1086244689504383E-015
   24.576499999988073      ,   2.8865798640254070E-015
   24.576999999988072      ,   3.3306690738754696E-015
   24.577499999988071      ,   2.8865798640254070E-015
   24.577999999988069      ,   3.1086244689504383E-015
   24.578499999988068      ,   2.8865798640254070E-015
   24.578999999988067      ,   2.8865798640254070E-015
   24.579499999988066      ,   3.3306690738754696E-015
   24.579999999988065      ,   3.1086244689504383E-015
   24.580499999988064      ,   2.8865798640254070E-015
   24.580999999988062      ,   2.8865798640254070E-015
   24.581499999988061      ,   2.8865798640254070E-015
   24.581999999988060      ,   2.8865798640254070E-015
   24.582499999988059      ,   2.8865798640254070E-015
   24.582999999988058      ,   2.4424906541753444E-015
   24.583499999988057      ,   2.8865798640254070E-015
   24.583999999988055      ,   2.6645352591003757E-015
   24.584499999988054      ,   2.6645352591003757E-015
   24.584999999988053      ,   2.4424906541753444E-015
   24.585499999988052      ,   2.6645352591003757E-015
   24.585999999988051      ,   2.6645352591003757E-015
   24.586499999988050      ,   2.4424906541753444E-015
   24.586999999988048      ,   2.6645352591003757E-015
   24.587499999988047      ,   2.8865798640254070E-015
   24.587999999988046      ,   2.8865798640254070E-015
   24.588499999988045      ,   3.1086244689504383E-015
   24.588999999988044      ,   2.6645352591003757E-015
   24.589499999988043      ,   3.1086244689504383E-015
   24.589999999988041      ,   3.1086244689504383E-015
   24.590499999988040      ,   2.8865798640254070E-015
   24.590999999988039      ,   3.1086244689504383E-015
   24.591499999988038      ,   3.1086244689504383E-015
   24.591999999988037      ,   2.8865798640254070E-015
   24.592499999988036      ,   3.3306690738754696E-015
   24.592999999988034      ,   2.8865798640254070E-015
   24.593499999988033      ,   3.3306690738754696E-015
